GeeSkid v1.05
Date/Time,Join/Leave,Name,SCID,IP,PID,Friend,Host,Host Priority,Rank,K/D,Money,Modder Flags
2022-08-24 0000-24,Leave,CrazyDayyy,156225770,78.146.163.127,1, , ,10 of 16,410,0.5,$1085896,
2022-08-24 0000-24,Leave,-AzZerTY-,27943147,84.103.141.113,2, , ,13 of 16,746,3.72,$1010021641,High $ 
2022-08-24 0000-24,Leave,xCandyxxx,77973851,86.20.38.195,4, , ,1 of 16,419,1.19,$2147483647,
2022-08-24 0000-24,Leave,Tabis128,117248893,94.172.85.227,5, , ,6 of 16,205,0.82,$861938,
2022-08-24 0000-24,Leave,xhope__,192368073,46.208.157.79,6, , ,2 of 16,430,2.15,$21043019,
2022-08-24 0000-24,Leave,Nanou-player,174182394,176.182.11.224,7, , ,11 of 16,70,0.17,$1333586,
2022-08-24 0000-24,Leave,RAY_MK46,38492629,84.195.29.245,8, , ,4 of 16,2654,2.59,$173201091,High rank 
2022-08-24 0000-24,Leave,wtfRoii1337,157938031,83.21.165.124,10, , ,7 of 16,369,0.78,$5444218,
2022-08-24 0000-24,Leave,auiHero9,202040300,177.66.73.118,11, , ,16 of 16,264,0.69,$230521953,
2022-08-24 0000-24,Leave,6BeRLiN9,185584540,82.124.125.124,12, , ,8 of 16,110,0.48,$2288747,
2022-08-24 0000-24,Leave,Cl4uuu,193598093,86.120.251.55,13, , ,14 of 16,165,0.59,$3418132,
2022-08-24 0000-48,Leave,xCandyxxx,77973851,86.20.38.195,0, ,Host,1 of 1,419,1.19,$0,
2022-08-24 0000-48,Join,skaup5,151722920,84.118.220.201,0, , ,27 of 28,133,0.78,$194385,
2022-08-24 0000-48,Join,BLACKSKY2033,161433005,86.239.19.109,2, , ,15 of 28,396,2.02,$653671,
2022-08-24 0000-48,Join,mr_starfire123,120847773,94.175.50.5,4, , ,7 of 28,10,0.39,$97364,
2022-08-24 0000-48,Join,_RDawG_,29610477,86.18.23.234,5, , ,11 of 28,46,0.42,$2215103,
2022-08-24 0000-48,Join,al_cashulin,143994087,46.39.255.103,6, , ,9 of 28,130,0.6,$26679355,
2022-08-24 0000-48,Join,Ethan_342,205670145,82.0.248.61,8, , ,14 of 28,73,0.6,$155414,
2022-08-24 0000-48,Join,Crowbar567,72287373,212.85.92.55,9, , ,3 of 28,196,2.6,$2534536,
2022-08-24 0000-48,Join,Loopyrepair1,174347523,85.27.64.73,10, , ,6 of 28,73,0.23,$385671,
2022-08-24 0000-48,Join,Voideka_,183366130,151.225.215.2,11, , ,26 of 28,44,0.14,$763086,
2022-08-24 0000-48,Join,Herrkanelbulle,106222042,155.4.34.9,12, , ,24 of 28,241,3.15,$2157243,
2022-08-24 0000-48,Join,Kopatka,130190100,46.242.120.233,14, , ,28 of 28,147,1.31,$4990624,
2022-08-24 0000-48,Join,TheOneNike,187891039,95.91.252.128,15, , ,12 of 28,193,0.6,$872388,
2022-08-24 0000-48,Join,Demons_a1one,172631132,178.54.162.96,17, , ,10 of 28,201,1.68,$2304083,
2022-08-24 0000-48,Join,Drobash1256,106436724,94.181.204.179,18, , ,22 of 28,2025,19004232.0,$2146093047,
2022-08-24 0000-48,Join,cmondemon,208068376,109.134.42.216,19, , ,20 of 28,37,1.5,$1631540,
2022-08-24 0000-48,Join,M1sssHa,46202151,109.60.150.211,20, , ,21 of 28,473,1.32,$350848262,
2022-08-24 0000-48,Join,sytezaoh,200629409,91.165.130.99,22, ,Host,2 of 28,18,0.72,$436479,
2022-08-24 0000-48,Join,hoekjayson,203053565,83.82.36.156,23,Friend, ,25 of 28,153,0.8,$5799002,
2022-08-24 0000-48,Join,alex27hut,147429312,82.79.15.91,25, , ,13 of 28,328,1.65,$529081,
2022-08-24 0000-48,Join,WybeKing,151870982,82.73.21.87,26, , ,8 of 28,689,0.56,$12374532,
2022-08-24 0000-48,Join,YTB-ToTo,212289871,91.165.130.99,27, , ,4 of 28,22,1.13,$5019,
2022-08-24 0000-48,Join,kopsi402,205405874,78.3.89.155,28, , ,16 of 28,35,0.22,$1070027,
2022-08-24 0000-59,Leave,Crowbar567,72287373,212.85.92.55,9, , ,3 of 28,196,2.6,$2534536,
2022-08-24 0000-59,Leave,Kopatka,130190100,46.242.120.233,14, , ,28 of 28,147,1.31,$4990624,
2022-08-24 0000-59,Leave,TheOneNike,187891039,95.91.252.128,15, , ,12 of 28,193,0.6,$872388,
2022-08-24 0000-48,Join,257Colors,136623719,91.170.233.104,3, , ,23 of 28,168,2.9,$340653,
2022-08-24 0001-00,Leave,257Colors,136623719,91.170.233.104,3, , ,23 of 28,168,2.9,$340653,
2022-08-24 0001-31,Leave,BLACKSKY2033,161433005,86.239.19.109,2, , ,15 of 28,396,2.02,$653671,
2022-08-24 0001-31,Leave,257Colors,136623719,91.170.233.104,3, , ,23 of 28,168,2.9,$340653,
2022-08-24 0001-31,Leave,mr_starfire123,120847773,94.175.50.5,4, , ,7 of 28,10,0.39,$96864,
2022-08-24 0001-31,Leave,_RDawG_,29610477,86.18.23.234,5, , ,11 of 28,46,0.42,$2215103,
2022-08-24 0001-31,Leave,al_cashulin,143994087,46.39.255.103,6, , ,9 of 28,130,0.6,$26679355,
2022-08-24 0001-31,Leave,Ethan_342,205670145,82.0.248.61,8, , ,14 of 28,73,0.6,$155414,
2022-08-24 0001-31,Leave,Crowbar567,72287373,212.85.92.55,9, , ,3 of 28,196,2.6,$2534536,
2022-08-24 0001-31,Leave,Loopyrepair1,174347523,85.27.64.73,10, , ,6 of 28,73,0.23,$385671,
2022-08-24 0001-31,Leave,Voideka_,183366130,151.225.215.2,11, , ,26 of 28,44,0.14,$763086,
2022-08-24 0001-31,Leave,Herrkanelbulle,106222042,155.4.34.9,12, , ,24 of 28,241,3.15,$2157243,
2022-08-24 0001-31,Leave,Kopatka,130190100,46.242.120.233,14, , ,28 of 28,147,1.31,$4990624,
2022-08-24 0001-31,Leave,TheOneNike,187891039,95.91.252.128,15, , ,12 of 28,193,0.6,$872388,
2022-08-24 0001-31,Leave,Demons_a1one,172631132,178.54.162.96,17, , ,10 of 28,201,1.68,$2304083,
2022-08-24 0001-31,Leave,Drobash1256,106436724,94.181.204.179,18, , ,22 of 28,2025,19004232.0,$2146093047,
2022-08-24 0001-31,Leave,cmondemon,208068376,109.134.42.216,19, , ,20 of 28,37,1.5,$1631540,
2022-08-24 0001-31,Leave,M1sssHa,46202151,109.60.150.211,20, , ,21 of 28,473,1.32,$350848262,
2022-08-24 0001-31,Leave,sytezaoh,200629409,91.165.130.99,22, ,Host,2 of 28,18,0.72,$436479,
2022-08-24 0001-31,Leave,hoekjayson,203053565,83.82.36.156,23,Friend, ,25 of 28,153,0.8,$5799002,
2022-08-24 0001-31,Leave,alex27hut,147429312,82.79.15.91,25, , ,13 of 28,328,1.65,$529081,
2022-08-24 0001-31,Leave,WybeKing,151870982,82.73.21.87,26, , ,8 of 28,689,0.56,$12374532,
2022-08-24 0001-31,Leave,YTB-ToTo,212289871,91.165.130.99,27, , ,4 of 28,22,1.13,$5019,
2022-08-24 0001-31,Leave,kopsi402,205405874,78.3.89.155,28, , ,16 of 28,35,0.22,$1070027,
2022-08-24 0002-25,Join,Youreadyougay2,166943657,71.82.8.103,1, , ,13 of 30,61,0.12,$203135,
2022-08-24 0002-25,Join,ll-FOKSTAR-ll,118183740,216.113.69.71,2, , ,9 of 30,71,0.29,$1192051,
2022-08-24 0002-25,Join,IROCZ28_1987,122179206,76.114.138.188,3, ,Host,2 of 30,263,1.73,$102917965,
2022-08-24 0002-25,Join,RunnersLegned,192757996,70.131.63.131,4, , ,6 of 30,6,1.03,$796217,
2022-08-24 0002-25,Join,Neiyyo,70187554,66.130.56.7,5, , ,30 of 30,75,1.01,$377977,
2022-08-24 0002-25,Join,Minimejg,213725798,24.140.249.60,6, , ,21 of 30,44,0.25,$324850,
2022-08-24 0002-25,Join,its_sonner,186128936,72.195.149.20,7, , ,11 of 30,473,0.46,$37501981,
2022-08-24 0002-25,Join,Epocks_,73962534,68.200.63.226,8, , ,29 of 30,118,1.0,$3036164,
2022-08-24 0002-25,Join,HaZxRdThEgOaT,195203416,69.166.116.80,11, , ,4 of 30,84,0.49,$55162,
2022-08-24 0002-25,Join,greddley,204016594,89.144.201.31,12, , ,25 of 30,65,0.98,$4461447,
2022-08-24 0002-25,Join,callmeyeezy,202594781,98.29.244.187,13, , ,3 of 30,85,3.58,$1920717,
2022-08-24 0002-25,Join,Electric_Magic,145512363,64.67.139.166,14, , ,15 of 30,424,0.42,$371546,
2022-08-24 0002-25,Join,ericdean1245,97639143,74.137.88.81,15, , ,7 of 30,176,0.67,$593852,
