GeeSkid v1.05
Date/Time,Join/Leave,Name,SCID,IP,PID,Friend,Host,Host Priority,Rank,K/D,Money,Modder Flags
2022-08-23 0059-58,Join,_Scylla,62299158,109.18.89.179,0, ,Host,1 of 4,490,3.1,$748503,
2022-08-23 0059-58,Join,xCandyxxx,77973851,86.20.38.195,1, , ,4 of 4,420,1.19,$2147483647,
2022-08-23 0059-58,Join,daily_cookies,210165648,86.21.143.147,16, , ,2 of 4,412,1.37,$36745244,
2022-08-23 0100-22,Join,b1llys_,181983680,109.178.173.17,2, , ,2 of 5,253,0.64,$636567,
2022-08-23 0102-01,Leave,xCandyxxx,77973851,86.20.38.195,1, , ,5 of 5,420,1.19,$2147483647,
2022-08-23 0102-01,Leave,b1llys_,181983680,109.178.173.17,2, , ,2 of 5,253,0.64,$636567,
2022-08-23 0102-01,Leave,daily_cookies,210165648,86.21.143.147,16, , ,3 of 5,412,1.37,$36745244,
2022-08-23 0102-23,Leave,xCandyxxx,77973851,86.20.38.195,0, ,Host,1 of 1,420,1.19,$0,
2022-08-23 0102-23,Join,Cyrosist,205542662,73.143.53.202,1, , ,27 of 29,249,0.73,$292178,
2022-08-23 0102-23,Join,TexasKidd,1521,73.27.251.56,2, , ,24 of 29,124,1.5,$35334103,IP Spoof 
2022-08-23 0102-23,Join,BonnieGaming804,210502412,108.75.244.21,3, , ,9 of 29,63,0.47,$497693,
2022-08-23 0102-23,Join,Lighting_11,186309717,24.107.237.199,4, ,Host,21 of 29,38,0.12,$239501,
2022-08-23 0102-23,Join,Uwantbombs1,202676268,172.58.86.138,6, , ,3 of 29,83,1.01,$956067,
2022-08-23 0102-23,Join,Vossichi,38349568,68.34.120.2,8, , ,13 of 29,429,1.13,$1039932376,
2022-08-23 0102-23,Join,ranchh2drip,146386271,99.229.254.198,9, , ,2 of 29,137,0.54,$1308763,
2022-08-23 0102-23,Join,dylan2692,118928535,184.91.99.209,11, , ,22 of 29,64,0.08,$49193,
2022-08-23 0102-23,Join,Flamezz90,203341962,98.124.68.248,12, , ,15 of 29,300,1.5,$1258399809,
2022-08-23 0102-23,Join,Robotic_Brenden,73152991,68.49.174.108,13, , ,23 of 29,168,1.29,$3240805,
2022-08-23 0102-23,Join,Mushroom_on_weed,197614859,66.131.207.100,16, , ,19 of 29,122,0.66,$171681,
2022-08-23 0102-23,Join,Wickedlolife,47564611,216.126.34.145,17, , ,17 of 29,4239,0.1,$23398821,
2022-08-23 0102-23,Join,fux4weeks_,55114768,71.88.17.79,18, , ,28 of 29,420,5.0,$53100928,
2022-08-23 0102-23,Join,WD40MUP,154370327,74.12.63.228,19, , ,26 of 29,108,0.65,$1663381,
2022-08-23 0102-23,Join,echomatize,83428163,184.162.226.141,20, , ,20 of 29,51,1.29,$206784,
2022-08-23 0102-23,Join,blakeand,146473017,24.101.125.143,21, , ,7 of 29,108,1.16,$9781833,
2022-08-23 0102-23,Join,tonidesroches,203490829,76.64.252.223,22, , ,29 of 29,15,0.37,$1351938,
2022-08-23 0102-23,Join,LED_Recon,147488668,174.44.80.155,26, , ,18 of 29,44,0.47,$1436032,
2022-08-23 0102-23,Join,LentWolf4,160442703,73.137.168.112,27, , ,12 of 29,70,0.85,$262583,
2022-08-23 0102-23,Join,BEATSnREMIX,55527352,68.174.210.42,28, , ,25 of 29,1723,1.5,$1522249197,
2022-08-23 0102-23,Join,XacksWorld,187146709,186.32.53.214,29, , ,16 of 29,27,0.75,$906711,
2022-08-23 0102-34,Leave,Flamezz90,203341962,98.124.68.248,12, , ,15 of 29,300,1.5,$1258399809,
2022-08-23 0102-24,Join,stevenmarrs,209382532,71.219.80.127,0, , ,11 of 29,137,0.5,$75072,
2022-08-23 0102-39,Leave,Cyrosist,205542662,73.143.53.202,1, , ,27 of 29,249,0.73,$292178,
2022-08-23 0102-23,Join,Juni85,28197610,72.84.77.192,23, , ,6 of 30,77,0.27,$401756,
2022-08-23 0102-23,Join,xCandyxxx,77973851,86.20.38.195,24, , ,1 of 30,420,1.19,$2147483647,
2022-08-23 0103-16,Leave,fux4weeks_,55114768,71.88.17.79,18, , ,28 of 29,420,5.0,$53100928,
2022-08-23 0102-23,Join,SW3ATYKEYBOARD,211801489,204.237.0.124,14, , ,5 of 28,205,0.57,$14611528,
2022-08-23 0102-23,Join,picazogirl,214249124,201.205.177.4,10, , ,8 of 28,31,1.33,$177861,
