GeeSkid v1.05
Date/Time,Join/Leave,Name,SCID,IP,PID,Friend,Host,Host Priority,Rank,K/D,Money,Modder Flags
2022-08-20 1441-43,Join,vodkydoff,145864061,81.49.160.184,2, , ,9 of 30,63,7.5,$2185122,
2022-08-20 1441-43,Join,DaqaviousBingle,214238853,178.237.221.0,3, , ,18 of 30,34,1.16,$496269,
2022-08-20 1441-43,Join,bugsplat939,71775518,94.227.74.208,5, , ,29 of 30,86,0.82,$732280,
2022-08-20 1441-43,Join,Radu1410enduro,198560378,89.137.31.246,6, , ,30 of 30,60,0.86,$1343328,
2022-08-20 1441-43,Join,RedCrown191,193804273,194.132.71.247,7, , ,26 of 30,566,7.23,$2145888307,
2022-08-20 1441-43,Join,CallMeRed2121,163771970,51.183.116.110,8, ,Host,2 of 30,200,1.04,$3514791,
2022-08-20 1441-43,Join,bramaap,26153684,78.21.226.102,11, , ,3 of 30,18,0.28,$620103,
2022-08-20 1441-43,Join,1MONARK1,200131574,95.107.230.210,12, , ,21 of 30,90,1.13,$2049103,
2022-08-20 1441-43,Join,Gianis7500,150590428,2.85.219.239,13, , ,19 of 30,41,1.45,$882531,
2022-08-20 1441-43,Join,DenseeS,148100081,78.137.18.3,14, , ,16 of 30,104,1.17,$8118407,
2022-08-20 1441-43,Join,__Zal64__,164794812,149.200.108.215,16, , ,8 of 30,211,0.9,$224175,
2022-08-20 1441-43,Join,schikutu,191656833,87.117.185.121,17, , ,20 of 30,120,0.38,$9103,
2022-08-20 1441-43,Join,kuserggio,161527941,62.122.114.122,18, , ,7 of 30,48,0.54,$4168,
2022-08-20 1441-43,Join,xCandyxxx,77973851,86.20.38.195,19, , ,27 of 30,420,1.19,$2147483647,
2022-08-20 1441-43,Join,Heprix,154344001,83.20.245.158,20, , ,5 of 30,47,0.45,$474603,
2022-08-20 1441-43,Join,GOLEMHSSS,175047549,2.85.195.21,21, , ,1 of 30,284,1.31,$4243556,
2022-08-20 1441-43,Join,OBELISK_exe,202765820,188.73.233.51,22, , ,24 of 30,135,0.66,$17240,IP Spoof 
2022-08-20 1441-43,Join,Sekaaaa06,131294719,109.92.168.133,23, , ,11 of 30,415,1.0,$208098,
2022-08-20 1441-43,Join,NeMoDT,175689600,95.55.194.99,24, , ,10 of 30,43,0.24,$752854,
2022-08-20 1441-43,Join,LeGoDiGo,205132145,188.250.108.3,26, , ,23 of 30,51,0.22,$803991,
2022-08-20 1441-43,Join,Spy_Atesz,157571545,91.120.143.137,27, , ,12 of 30,3,1.0,$186128,
2022-08-20 1441-43,Join,LunaR_1223,163934204,81.225.158.137,29, , ,14 of 30,156,0.34,$53436,
2022-08-20 1441-43,Join,Ethicsmetal,195873094,31.42.92.177,1, , ,13 of 30,205,0.6,$72041334,
2022-08-20 1441-43,Join,Andreaz2fast,191327097,83.253.80.4,25, , ,4 of 29,128,1.02,$459240,
2022-08-20 1441-43,Join,Kapka20,121824241,89.64.33.164,28, , ,6 of 29,30,0.22,$115960,
2022-08-20 1442-35,Leave,GOLEMHSSS,175047549,2.85.195.21,21, , ,1 of 30,284,1.31,$4243556,
2022-08-20 1442-41,Leave,RedCrown191,193804273,194.132.71.247,7, , ,25 of 30,566,7.23,$2145888307,High K/D High $ 
2022-08-20 1442-41,Leave,NeMoDT,175689600,95.55.194.99,24, , ,9 of 29,43,0.24,$752854,
