GeeSkid v1.05
Date/Time,Join/Leave,Name,SCID,IP,PID,Friend,Host,Host Priority,Rank,K/D,Money,Modder Flags
2022-08-21 0201-53,Join,Aragorn-kinetic,174245800,94.14.159.43,0, , ,3 of 8,347,0.49,$100067,
2022-08-21 0201-53,Join,Mimi_FG,191893534,92.189.91.230,1, , ,4 of 8,131,0.25,$2059778,
2022-08-21 0201-53,Join,Aaron1273,136173518,2.99.67.221,2, , ,2 of 8,162,3593.0,$2145036182,
2022-08-21 0201-53,Join,xCandyxxx,77973851,86.20.38.195,3, , ,8 of 8,420,1.19,$2147483647,
2022-08-21 0201-53,Join,NOMAD-AND-KITTY,49610404,91.135.157.88,4, , ,1 of 8,351,8.66,$133712157,
2022-08-21 0201-53,Join,kubaniewiemxd,159712368,88.156.215.184,9, , ,6 of 8,303,0.83,$1257131,
2022-08-21 0201-53,Join,xan8787,146283475,178.235.188.119,10, , ,7 of 8,826,1.16,$1576431,
2022-08-21 0201-53,Join,zengaly,194338029,78.58.53.227,12, ,Host,5 of 8,18,0.49,$481277,
2022-08-21 0203-12,Leave,Aragorn-kinetic,174245800,94.14.159.43,0, , ,3 of 9,347,0.49,$100067,
2022-08-21 0203-25,Leave,kubaniewiemxd,159712368,88.156.215.184,9, , ,6 of 8,303,0.83,$1257131,
2022-08-21 0204-02,Leave,xan8787,146283475,178.235.188.119,10, , ,6 of 7,826,1.16,$1576431,
2022-08-21 0205-42,Join,SuGSkY,133399697,85.174.204.149,0, , ,1 of 6,276,1.13,$68699044,
2022-08-21 0206-45,Leave,SuGSkY,133399697,85.174.204.149,0, , ,1 of 6,276,1.13,$68699044,
2022-08-21 0208-04,Leave,xCandyxxx,77973851,86.20.38.195,3, , ,5 of 5,420,1.19,$2147483647,
2022-08-21 0208-04,Leave,NOMAD-AND-KITTY,49610404,91.135.157.88,4, , ,1 of 5,351,8.66,$133711957,High K/D 
2022-08-21 0208-04,Leave,zengaly,194338029,78.58.53.227,12, ,Host,4 of 5,18,0.49,$481277,
2022-08-21 0208-04,Join,Czapiroo,140816079,85.221.153.33,0, ,Host,2 of 3,38,0.83,$429221,
2022-08-21 0210-56,Leave,Czapiroo,140816079,85.221.153.33,0, ,Host,2 of 3,38,0.83,$429021,
2022-08-21 0210-56,Leave,Ragnar1344,215117010,85.221.153.33,1, , ,1 of 3,4,0.0,$34682,
2022-08-21 0210-56,Leave,xCandyxxx,77973851,86.20.38.195,2, , ,3 of 3,420,1.19,$2147483647,
2022-08-21 0210-56,Join,54jbridges,91330941,90.205.163.182,5, , ,12 of 28,23,0.28,$1192172,
