GeeSkid v1.05
Date/Time,Join/Leave,Name,SCID,IP,PID,Friend,Host,Host Priority,Rank,K/D,Money,Modder Flags
2022-08-17 2121-12,Join,Taxator,180988901,84.245.120.38,1, , ,19 of 30,180,1.74,$1280038,
2022-08-17 2121-12,Join,jesikabblh,212318045,89.215.84.244,4, , ,27 of 30,30,0.02,$698853,
2022-08-17 2121-12,Join,Nieznanek,187607710,91.215.238.107,5, , ,25 of 30,21,0.51,$39406,
2022-08-17 2121-12,Join,Lukutakina_,113885331,78.68.188.67,6, , ,18 of 30,95,0.57,$922742,
2022-08-17 2121-12,Join,KlitschkoS,101427479,77.20.152.48,8, , ,13 of 30,139,1.03,$799287166,
2022-08-17 2121-12,Join,Girgis187,133483667,95.90.202.181,9, , ,4 of 30,112,1.17,$1072735100,
2022-08-17 2121-12,Join,Kruzzze48,205407744,176.212.204.67,10, , ,23 of 30,61,0.61,$176404,
2022-08-17 2121-12,Join,tqkemooon,123133345,90.23.207.24,11, , ,28 of 30,125,0.71,$131625518,
2022-08-17 2121-12,Join,Big7OMMY,79192883,94.102.142.136,12, , ,2 of 30,130,0.28,$967768,
2022-08-17 2121-12,Join,gadhadgh,193957179,81.18.88.81,13, , ,9 of 30,337,1.5,$99098254,
2022-08-17 2121-12,Join,katholicc,163615533,95.49.253.198,14, , ,22 of 30,191,1.48,$166094,
2022-08-17 2121-12,Join,LAMA-BOT,135739530,109.21.171.225,15, , ,11 of 30,163,0.99,$884573,
2022-08-17 2121-12,Join,xCandyxxx,77973851,86.20.38.195,18, , ,12 of 30,419,1.19,$2147483647,
2022-08-17 2121-12,Join,JaherMaChambre,178083777,90.23.205.138,19, ,Host,1 of 30,131,0.38,$253987385,
2022-08-17 2121-12,Join,Misteleq,178284293,91.215.238.112,20, , ,24 of 30,38,0.64,$794239,
2022-08-17 2121-12,Join,HypeThang,30694866,92.33.165.124,21, , ,17 of 30,194,1.22,$80269899,
2022-08-17 2121-12,Join,thepikapika,181195116,89.231.217.174,22, , ,30 of 30,55,0.87,$142,
2022-08-17 2121-12,Join,SneakySmokieeHea,182288996,91.103.167.80,23, , ,5 of 30,20,0.72,$170078,
2022-08-17 2121-12,Join,ASDFMOVIEpizzas,40984674,217.82.130.142,24, , ,29 of 30,100,4.0,$7788130,
2022-08-17 2121-12,Join,r81a112,154747276,77.122.200.145,25, , ,15 of 30,211,0.4,$621154,
2022-08-17 2121-12,Join,LucaMagEssen,171144569,84.140.214.137,27, , ,16 of 30,18,0.25,$219011,
