GeeSkid v1.05
Date/Time,Join/Leave,Name,SCID,IP,PID,Friend,Host,Host Priority,Rank,K/D,Money,Modder Flags
2022-08-22 1506-26,Join,Zherlys,81650352,85.160.46.158,0, , ,11 of 18,562,3.93,$131101325,
2022-08-22 1506-26,Join,Trez3_yt,199526607,81.35.154.229,1, , ,13 of 18,61,0.18,$123206,
2022-08-22 1506-26,Join,Ghostrider_Vl,138577640,91.39.191.15,2, , ,9 of 18,191,0.9,$2211264,
2022-08-22 1506-26,Join,lukeen_,68318203,109.80.16.246,3, , ,17 of 18,253,0.39,$759036,
2022-08-22 1506-26,Join,solnakid,201755538,92.34.13.95,4, , ,4 of 18,101,0.63,$676790,
2022-08-22 1506-26,Join,MyNameIsObelix,121634375,83.25.16.83,5, , ,5 of 18,58,1.32,$16695,
2022-08-22 1506-26,Join,Fend_4,146147390,109.73.211.54,6, , ,6 of 18,473,2.93,$213716351,
2022-08-22 1506-26,Join,BOTAN___,183143740,80.238.73.36,7, , ,3 of 18,89,0.77,$566021,
2022-08-22 1506-26,Join,monsda19,139761462,134.3.151.119,9, , ,10 of 18,613,2.57,$133418757,
2022-08-22 1506-26,Join,Maarden_P,180379092,178.117.74.179,12, , ,16 of 18,121,0.46,$1582666,
2022-08-22 1506-26,Join,BRsweden,42365742,31.192.193.137,13, , ,7 of 18,844,0.34,$377348411,
2022-08-22 1506-26,Join,adizero93,23143570,195.3.148.224,14, , ,1 of 18,39,0.92,$1402541,
2022-08-22 1506-26,Join,xCandyxxx,77973851,86.20.38.195,15, , ,18 of 18,420,1.19,$2147483647,
2022-08-22 1506-26,Join,Sius_87,145265704,109.73.211.54,19, ,Host,2 of 18,477,3.82,$190653507,
2022-08-22 1506-26,Join,Thezzo72,175306866,31.192.193.137,11, , ,15 of 19,577,0.58,$176046948,
2022-08-22 1507-33,Leave,monsda19,139761462,134.3.151.119,9, , ,11 of 19,613,2.57,$133418757,
2022-08-22 1507-52,Leave,BRsweden,42365742,31.192.193.137,13, , ,7 of 18,844,0.34,$377348411,
2022-08-22 1508-19,Leave,Zherlys,81650352,85.160.46.158,0, , ,9 of 17,562,3.93,$131101325,
2022-08-22 1508-19,Leave,Trez3_yt,199526607,81.35.154.229,1, , ,12 of 17,61,0.18,$123206,
2022-08-22 1508-19,Leave,Ghostrider_Vl,138577640,91.39.191.15,2, , ,8 of 17,191,0.9,$2221264,
2022-08-22 1508-19,Leave,lukeen_,68318203,109.80.16.246,3, , ,16 of 17,253,0.39,$759036,
2022-08-22 1508-19,Leave,solnakid,201755538,92.34.13.95,4, , ,4 of 17,101,0.63,$676790,
2022-08-22 1508-19,Leave,MyNameIsObelix,121634375,83.25.16.83,5, , ,5 of 17,58,1.32,$16695,
2022-08-22 1508-19,Leave,Fend_4,146147390,109.73.211.54,6, , ,6 of 17,473,2.93,$213716351,
