GeeSkid v1.05
Date/Time,Join/Leave,Name,SCID,IP,PID,Friend,Host,Host Priority,Rank,K/D,Money,Modder Flags
2022-10-02 0000-00,Leave,VaNo200037243,163531475,46.98.132.110,23, , ,3 of 24,180,1.9,$7090301,
2022-10-02 0000-09,Leave,Jaworke,130101698,176.221.123.162,28, , ,4 of 23,243,1.04,$186829,
2022-10-02 0000-32,Leave,AugustoMikael,203660093,187.16.225.136,19, , ,7 of 22,244,1.06,$16605559,
2022-10-02 0002-25,Leave,Clom69,216758064,109.76.13.107,10, , ,17 of 21,9,0.64,$836447,
2022-10-02 0002-33,Join,AugustoMikael,203660093,187.16.225.136,10, , ,7 of 21,245,1.06,$16605759,
2022-10-02 0005-49,Leave,NaviJR_09,190818432,81.60.188.136,25, , ,19 of 21,85,0.45,$160250,
2022-10-02 0009-03,Leave,Perki_2,130993021,151.62.104.75,0, , ,3 of 20,280,2.44,$460491153,
2022-10-02 0013-12,Join,1SHOT___,122251021,84.238.205.144,0,Friend, ,8 of 20,1069,2.84,$35134621,
2022-10-02 0019-30,Leave,haso4600,32926355,93.40.240.176,9, , ,14 of 20,150,1.18,$2147483647,High $ 
2022-10-02 0023-50,Leave,AugustoMikael,203660093,187.16.225.136,10, , ,6 of 19,245,1.06,$16628838,
2022-10-02 0029-49,Leave,roman7864k,21470870,91.129.102.138,8, , ,2 of 18,36,0.74,$213975,
2022-10-02 0029-55,Leave,Wotek_2022,212627663,89.64.53.53,1, , ,13 of 17,37,0.47,$159859,
2022-10-02 0030-45,Leave,Prezziel,132218227,151.66.51.107,20, , ,14 of 16,130,0.61,$2649587,
2022-10-02 0031-34,Leave,1SHOT___,122251021,84.238.205.144,0,Friend, ,6 of 15,1069,2.84,$35120521,God-Mode 
2022-10-02 0032-29,Leave,gangstertsotne,216169606,188.129.206.149,2, , ,7 of 14,30,2.5,$287572,
2022-10-02 0032-29,Leave,Patarcz12,181959870,85.160.15.22,3, , ,9 of 14,55,0.27,$1881347,
2022-10-02 0032-29,Leave,zhangYAON,186669181,27.38.194.240,4, , ,12 of 14,672,4.33,$307425788,God-Mode 
2022-10-02 0032-29,Leave,BossDaily,179830452,24.89.34.237,5, , ,11 of 14,73,0.34,$1117658,
2022-10-02 0032-29,Leave,xCandyxxx,77973851,81.17.62.28,6, , ,13 of 14,420,1.19,$2147483647,
2022-10-02 0032-29,Leave,Zetsuu00,209630082,188.169.199.71,7, ,Host,1 of 14,37,1.47,$756766,
2022-10-02 0032-29,Leave,guilhermeduarte4,173231247,188.83.61.15,12, , ,4 of 14,77,0.17,$349122,
2022-10-02 0032-29,Leave,Igi_K1ngovac,128491604,188.2.14.56,13, , ,14 of 14,180,0.67,$357723802,
2022-10-02 0032-29,Leave,Mag0_Implacavel,179083724,78.137.227.122,14, , ,2 of 14,778,1.12,$118293320,
2022-10-02 0032-29,Leave,OndrejRyba,128025309,193.86.131.242,18, , ,3 of 14,41,0.54,$23632,
