GeeSkid v1.05
Date/Time,Join/Leave,Name,SCID,IP,PID,Friend,Host,Host Priority,Rank,K/D,Money,Modder Flags
2022-10-07 0238-37,Join,SUPERBOCK17,217164190,188.63.130.10,0, , ,17 of 18,5,0.5,$2261605,
2022-10-07 0238-37,Join,xCandyxxx,77973851,86.20.38.195,1, , ,1 of 18,420,1.19,$2147483647,
2022-10-07 0238-37,Join,Jelly_Burn,126116085,176.193.56.105,3, , ,4 of 18,1134,0.77,$648909585,
2022-10-07 0238-37,Join,SinSladjan,204703484,62.240.25.126,5, , ,15 of 18,173,0.25,$35460670,
2022-10-07 0238-37,Join,DrumJ17,155225040,78.96.86.42,7, , ,7 of 18,177,0.5,$22369740,RAC 
2022-10-07 0238-37,Join,Moisxev,115107145,178.64.79.130,11, , ,9 of 18,243,4.98,$773756047,
2022-10-07 0238-37,Join,peynut81,141126830,92.30.169.108,12, , ,18 of 18,332,0.42,$306178,
2022-10-07 0238-37,Join,Booomchackalaka,200921864,109.89.62.193,15, , ,11 of 18,48,0.06,$2034992,
2022-10-07 0238-37,Join,PurpleGreta,147749507,213.55.224.91,16, , ,12 of 18,304,2.91,$7955566,
2022-10-07 0238-37,Join,ganjataque,201683344,89.86.134.2,17, , ,5 of 18,116,0.32,$33048092,
2022-10-07 0238-37,Join,Tx-100,199968305,188.17.189.178,9, , ,11 of 22,136,0.25,$178138479,
2022-10-07 0238-40,Join,zHannes.,106074406,95.90.176.40,13, , ,10 of 23,424,3.48,$99578411,
2022-10-07 0239-29,Leave,xCandyxxx,77973851,86.20.38.195,1, , ,1 of 23,420,1.19,$2147483647,
2022-10-07 0239-29,Leave,Jelly_Burn,126116085,176.193.56.105,3, , ,8 of 23,1134,0.77,$648909585,
2022-10-07 0239-29,Leave,SinSladjan,204703484,62.240.25.126,5, , ,19 of 23,173,0.25,$35460670,
2022-10-07 0239-29,Leave,DrumJ17,155225040,78.96.86.42,7, , ,11 of 23,177,0.5,$22369740,RAC 
2022-10-07 0239-29,Leave,Tx-100,199968305,188.17.189.178,9, , ,12 of 23,136,0.25,$178138479,
2022-10-07 0239-29,Leave,Moisxev,115107145,178.64.79.130,11, , ,13 of 23,243,4.98,$773756047,
2022-10-07 0239-29,Leave,peynut81,141126830,92.30.169.108,12, , ,23 of 23,332,0.42,$305678,
2022-10-07 0239-29,Leave,zHannes.,106074406,95.90.176.40,13, , ,10 of 23,424,3.48,$99578411,
2022-10-07 0239-29,Leave,Booomchackalaka,200921864,109.89.62.193,15, , ,15 of 23,48,0.06,$2034992,
2022-10-07 0239-29,Leave,PurpleGreta,147749507,213.55.224.91,16, , ,16 of 23,304,2.91,$7955566,
2022-10-07 0239-29,Leave,ganjataque,201683344,89.86.134.2,17, , ,9 of 23,116,0.32,$33048092,
2022-10-07 0239-55,Leave,xCandyxxx,77973851,86.20.38.195,0, ,Host,1 of 1,420,1.19,$0,
2022-10-07 0239-55,Join,lady_pop_candy,100798138,212.68.231.136,0, , ,3 of 30,1288,0.06,$725535871,
2022-10-07 0239-55,Join,Zawirowany03,216452870,78.8.17.213,1, , ,10 of 30,106,4.0,$1260749,
2022-10-07 0239-55,Join,lolatron65,98102883,82.44.4.176,2,Friend, ,9 of 30,519,0.86,$240631372,
2022-10-07 0239-55,Join,xXStickybudZz,37114026,81.156.119.64,4, , ,28 of 30,73,0.99,$6514772,
2022-10-07 0239-55,Join,XerlaWho515,114277837,73.74.173.60,5, , ,4 of 30,156,0.78,$928831,
2022-10-07 0239-55,Join,ThyJack12,96797897,84.66.237.109,6, , ,13 of 30,264,0.27,$3547994,
2022-10-07 0239-55,Join,X_Lisa_Love_X,93765656,81.101.89.251,7, , ,19 of 30,181,1.14,$9578075,
2022-10-07 0239-55,Join,Daniel_Nikolic35,185558117,213.49.25.35,8, , ,6 of 30,252,0.23,$10127666,
2022-10-07 0239-55,Join,_AgataPolpetta_,180149268,93.37.177.139,9, , ,21 of 30,329,0.88,$19895674,
2022-10-07 0239-55,Join,KisssMeeeeee,115393866,2.29.194.53,10, , ,20 of 30,2903,0.55,$252861560,
2022-10-07 0239-55,Join,JWFox1,26029601,77.102.42.227,11, , ,17 of 30,255,1.25,$1590667851,
2022-10-07 0239-55,Join,Fubar2011,13847459,31.49.139.178,12, , ,16 of 30,312,3.01,$63062587,
2022-10-07 0239-55,Join,Alex_MaTRoSKiN,213805621,5.173.154.202,13, , ,25 of 30,205,0.22,$1753723034,
2022-10-07 0239-55,Join,NikNack1990,114187160,194.140.114.53,14, , ,27 of 30,132,0.43,$987416,
2022-10-07 0239-55,Join,pizzaglobus065,37828377,188.97.227.27,15, , ,30 of 30,229,0.57,$16237641,
2022-10-07 0239-55,Join,iCrew-,141504341,86.227.3.187,16, ,Host,7 of 30,888,9.78,$223256033,
2022-10-07 0239-55,Join,JayzPop,123411026,79.77.222.28,17, , ,14 of 30,140,9.97,$34758155,
