GeeSkid v1.05
Date/Time,Join/Leave,Name,SCID,IP,PID,Friend,Host,Host Priority,Rank,K/D,Money,Modder Flags
2022-10-03 0000-04,Join,b00tyaddict,203376646,178.11.93.6,5, , ,3 of 16,3,0.9,$6459,
2022-10-03 0000-17,Leave,headshot777child,16509289,92.206.191.3,6, , ,8 of 16,97,0.81,$2249242,
2022-10-03 0001-18,Join,Batmanz,21950258,188.24.88.42,6, , ,4 of 16,97,0.81,$2249242,
2022-10-03 0001-46,Join,-H1tman,77017441,46.176.171.161,8, , ,17 of 17,138,1.25,$17656987,
2022-10-03 0002-53,Leave,Leonon144hz,181109918,85.0.184.246,9, , ,13 of 17,424,1.49,$2146454813,High $ 
2022-10-03 0003-01,Leave,Batmanz,21950258,188.24.88.42,6, , ,4 of 16,72,1.02,$474767,
2022-10-03 0003-01,Leave,shinidesu6996,173336373,178.66.159.165,7, , ,10 of 16,137,1.0,$18367657,
2022-10-03 0003-01,Leave,FN335577,192666505,185.35.216.50,16, , ,6 of 16,24,1.0,$1223,
2022-10-03 0004-05,Leave,L1am_03K1ller,144971560,178.202.108.210,14, , ,8 of 14,73,0.52,$623076681,
2022-10-03 0003-46,Join,Sucic1,168679879,93.209.168.139,6, , ,7 of 13,120,1.0,$966514,
2022-10-03 0004-54,Leave,-H1tman,77017441,46.176.171.161,8, , ,13 of 13,138,1.25,$17656487,
2022-10-03 0005-30,Leave,liuwanq,216494830,151.68.183.69,2, , ,9 of 12,52,0.25,$1171937,
2022-10-03 0005-36,Join,matrixvrngood,167781022,31.210.218.157,2, , ,2 of 12,52,0.25,$1171937,
2022-10-03 0007-03,Leave,matrixvrngood,167781022,31.210.218.157,2, , ,2 of 12,29,0.0,$10284,
2022-10-03 0007-47,Leave,Sucic1,168679879,93.209.168.139,6, , ,7 of 11,120,1.0,$968014,
2022-10-03 0013-24,Leave,stable_juju,180702332,24.243.129.11,23, , ,11 of 13,53,0.88,$1424614,
2022-10-03 0013-16,Join,ElJackson1,126140565,77.179.16.80,2, , ,9 of 13,85,0.52,$2016560,
