GeeSkid v1.05
Date/Time,Join/Leave,Name,SCID,IP,PID,Friend,Host,Host Priority,Rank,K/D,Money,Modder Flags
2022-10-10 0259-41,Join,Nexius05,140575582,213.149.61.189,0, , ,3 of 19,125,0.46,$1826997,
2022-10-10 0259-41,Join,plugwalk2425570,201070987,109.120.7.225,2,Friend, ,4 of 19,123,0.81,$8107252,
2022-10-10 0259-41,Join,welpqq,107618998,94.3.17.164,3, , ,15 of 19,113,1.16,$6845124,
2022-10-10 0259-41,Join,SHELBYTRON,217445366,80.189.113.175,4, , ,5 of 19,9,1.0,$1239748,
2022-10-10 0259-41,Join,PikaShawty,195159047,185.90.102.171,5, , ,16 of 19,73,0.37,$188902,
2022-10-10 0259-41,Join,PikaHeineken,179895685,185.90.100.73,6, , ,9 of 19,134,2.3,$2144588558,
2022-10-10 0259-41,Join,welshey37411,74492127,86.11.185.158,7, , ,6 of 19,176,0.56,$23696154,
2022-10-10 0259-41,Join,Monzerh44,172399339,87.143.33.82,8, , ,8 of 19,20,0.63,$1678420,
2022-10-10 0259-41,Join,HaxoAngmark,165503282,82.1.58.98,10, ,Host,1 of 19,361,0.54,$124838715,
2022-10-10 0259-41,Join,leepy66-,84780696,84.69.76.101,11, , ,10 of 19,501,3.93,$64340030,
2022-10-10 0259-41,Join,xW_pancho_Xx,198252500,31.10.141.206,12,Friend, ,13 of 19,784,0.72,$104890,
2022-10-10 0259-41,Join,NoBacardi,133128064,84.146.205.96,14, , ,11 of 19,374,1.84,$329049856,
2022-10-10 0259-41,Join,Mr_dogeman225566,189197935,2.126.78.74,17, , ,7 of 19,7057,0.45,$7398082,
2022-10-10 0259-41,Join,xCandyxxx,77973851,86.20.38.195,20, , ,17 of 19,420,1.19,$2147483647,
2022-10-10 0259-41,Join,sawahmeow,207119425,77.241.128.104,21, , ,18 of 19,130,0.55,$677539,
2022-10-10 0259-41,Join,KolioTerora,145264619,93.135.78.108,24, , ,12 of 19,22,0.73,$1103630,
2022-10-10 0259-41,Join,Rapps21,73545124,5.186.124.50,26, , ,14 of 19,210,1.5,$172168231,
2022-10-10 0259-41,Join,Basile_valeti,170625593,90.116.28.18,9, , ,2 of 19,215,0.36,$5250737,
2022-10-10 0300-16,Leave,Basile_valeti,170625593,90.116.28.18,9, , ,2 of 19,215,0.36,$5250737,
2022-10-10 0300-40,Leave,welpqq,107618998,94.3.17.164,3, , ,14 of 18,113,1.16,$6845124,
2022-10-10 0300-57,Leave,PikaHeineken,179895685,185.90.100.73,6, , ,8 of 17,134,2.3,$2144588558,High $ 
2022-10-10 0300-57,Leave,PikaShawty,195159047,185.90.102.171,5, , ,13 of 16,73,0.37,$188902,
2022-10-10 0301-15,Join,player15627,215420690,86.7.233.58,3, , ,1 of 16,56,1.33,$233980,
2022-10-10 0302-52,Join,JuicyJabahora,34087592,88.78.39.174,5, , ,7 of 17,469,1.22,$7338398,
2022-10-10 0304-29,Leave,JuicyJabahora,34087592,88.78.39.174,5, , ,7 of 17,469,1.22,$7338398,
