GeeSkid v1.05
Date/Time,Join/Leave,Name,SCID,IP,PID,Friend,Host,Host Priority,Rank,K/D,Money,Modder Flags
2022-10-01 0340-46,Join,JustTheQu,160327360,83.20.215.94,1, , ,5 of 5,67,0.7,$58283,
2022-10-01 0340-46,Join,slashfast,53835842,46.242.89.69,2, , ,3 of 5,97,0.73,$2079951,
2022-10-01 0340-46,Join,FToniFC,160298360,77.26.78.169,3, ,Host,1 of 5,520,2.94,$142714097,
2022-10-01 0340-46,Join,xCandyxxx,77973851,86.20.38.195,4, , ,3 of 4,420,1.19,$2147483647,
2022-10-01 0343-33,Leave,JustTheQu,160327360,83.20.215.94,1, , ,4 of 4,67,0.7,$58283,
2022-10-01 0343-33,Leave,slashfast,53835842,46.242.89.69,2, , ,2 of 4,97,0.73,$2079951,
2022-10-01 0343-33,Leave,FToniFC,160298360,77.26.78.169,3, ,Host,1 of 4,520,2.94,$142714097,
2022-10-01 0343-33,Join,2010danilka0707,142717447,188.244.252.75,0, , ,7 of 12,150,0.48,$4898958,
2022-10-01 0343-33,Join,OneHeadShoot1,95508212,62.167.164.33,2, , ,11 of 12,336,0.91,$1368737,
2022-10-01 0343-33,Join,KOTOROK,20577461,185.109.20.15,3, , ,12 of 12,82,0.4,$111689,
2022-10-01 0343-33,Join,Jigglypuff_420,98501618,31.17.250.7,5, , ,10 of 12,129,0.64,$742169,
2022-10-01 0343-33,Join,alrachilin,127746686,85.172.92.255,7, , ,6 of 12,69,0.98,$58249,
2022-10-01 0343-33,Join,OLLEBIRGER,75945769,83.250.2.166,8, , ,5 of 12,329,1.09,$1274789,
2022-10-01 0343-33,Join,shipopalo,165392768,188.243.11.230,9, , ,4 of 12,70,0.28,$1326202,
2022-10-01 0343-33,Join,RasimKailakaev,211484797,46.174.112.89,11, , ,9 of 12,56,0.6,$87984,
2022-10-01 0343-33,Join,Blackman102938,95503961,31.173.243.53,12, , ,3 of 12,8,1.0,$1277305,
2022-10-01 0343-33,Join,-Aurelius-,130244791,94.134.90.183,27, ,Host,2 of 12,148,0.64,$2069053,
2022-10-01 0343-44,Leave,2010danilka0707,142717447,188.244.252.75,0, , ,7 of 12,150,0.48,$4898958,
2022-10-01 0343-54,Leave,xCandyxxx,77973851,86.20.38.195,4, , ,1 of 12,420,1.19,$0,
2022-10-01 0343-54,Leave,Jigglypuff_420,98501618,31.17.250.7,5, , ,10 of 12,129,0.64,$741669,
2022-10-01 0343-54,Leave,alrachilin,127746686,85.172.92.255,7, , ,6 of 12,69,0.98,$58249,
2022-10-01 0343-54,Leave,OLLEBIRGER,75945769,83.250.2.166,8, , ,5 of 12,329,1.09,$1274789,
2022-10-01 0343-54,Leave,shipopalo,165392768,188.243.11.230,9, , ,4 of 12,70,0.28,$1326202,
2022-10-01 0343-54,Leave,RasimKailakaev,211484797,46.174.112.89,11, , ,9 of 12,56,0.6,$87984,
2022-10-01 0343-54,Leave,Blackman102938,95503961,31.173.243.53,12, , ,3 of 12,8,1.0,$1277305,
2022-10-01 0343-54,Leave,-Aurelius-,130244791,94.134.90.183,27, ,Host,2 of 12,148,0.64,$2069053,
2022-10-01 0343-33,Join,RoxieFoxie911,204163452,68.62.187.255,1,Friend, ,2 of 4,118,1.14,$1553501,
2022-10-01 0344-20,Leave,ANTVENOM736,71556055,108.41.42.125,0, ,Host,4 of 4,420,0.47,$606918922,
2022-10-01 0344-20,Leave,RoxieFoxie911,204163452,68.62.187.255,1,Friend, ,2 of 4,118,1.14,$1553501,
2022-10-01 0344-20,Leave,Adam_OudMG,214979819,24.54.57.95,2, , ,3 of 4,70,1.0,$2774070,
2022-10-01 0344-20,Leave,xCandyxxx,77973851,86.20.38.195,3, , ,1 of 4,420,1.19,$0,
2022-10-01 0344-56,Join,6BrashDoctor9,81489194,178.252.205.181,1, , ,4 of 28,17,1.13,$98548,
2022-10-01 0344-56,Join,GTA768768JFDH464,147386438,85.9.20.138,2, , ,15 of 28,169,0.25,$26414,
2022-10-01 0344-56,Join,bizarreN4521,175535215,176.189.236.125,3, , ,27 of 28,514,0.93,$56792091,
2022-10-01 0344-56,Join,Megasucette10,215662553,109.19.118.88,6, , ,20 of 28,651,1.5,$44854867,
2022-10-01 0344-56,Join,Misha_777lol,203059368,79.174.34.207,7, , ,28 of 28,64,0.78,$6167286,
2022-10-01 0344-56,Join,EvieEvolution,160218199,2.222.41.220,8, , ,3 of 28,136,1.29,$7205700,
2022-10-01 0344-56,Join,lateplays45,128967163,84.253.253.245,9, ,Host,17 of 28,118,1.06,$2337465,
2022-10-01 0344-56,Join,Taser_v4,193457009,178.218.99.127,12, , ,25 of 28,6671,2.06,$14183726,
2022-10-01 0344-56,Join,TheCosmicPostman,105768561,58.6.169.158,13, , ,18 of 28,274,1.15,$174684260,
2022-10-01 0344-56,Join,Yae-Schlommo3,110866480,80.134.103.76,14, , ,6 of 28,644,1.44,$37486626,
2022-10-01 0344-56,Join,Mc00FIES,183600278,84.215.9.190,15, , ,5 of 28,426,1.5,$1700293139,
2022-10-01 0344-56,Join,999_MAFI_999,112325748,176.210.207.51,17, , ,2 of 28,165,0.74,$495888370,
2022-10-01 0344-56,Join,D0ntB3R4c1stP1Z,154085854,23.230.214.83,18, , ,23 of 28,135,1.37,$284117467,
2022-10-01 0344-56,Join,Asnesi,82886490,90.73.189.37,19, , ,8 of 28,60,0.57,$3823041,
2022-10-01 0344-56,Join,Deepsilverbmw,22703305,93.90.97.194,21, , ,10 of 28,10,0.35,$26864,
2022-10-01 0344-56,Join,Adaro0o,26519658,83.128.104.233,22, , ,7 of 28,168,0.96,$3532398,
2022-10-01 0344-56,Join,ewrt4ttTGEGE4G4E,164581347,88.122.225.226,23, , ,26 of 28,262,1.37,$5978343,
2022-10-01 0344-56,Join,RubyGirls,38243071,90.2.36.234,24, , ,14 of 28,252,1.12,$1486284,
2022-10-01 0344-56,Join,Rodioku,175622738,178.68.198.131,25, , ,11 of 28,42,0.33,$2225,
2022-10-01 0344-56,Join,Sjuush_,127323803,83.137.122.68,26, , ,19 of 28,214,4.85,$14778856,
2022-10-01 0344-56,Join,topher0606,145817612,217.150.73.79,27, , ,21 of 28,435,0.62,$161946454,
2022-10-01 0344-56,Join,Karton_baton,163850937,88.86.81.207,29, , ,13 of 28,502,4.72,$96014161,
2022-10-01 0345-07,Leave,6BrashDoctor9,81489194,178.252.205.181,1, , ,4 of 28,17,1.13,$98548,
2022-10-01 0345-07,Leave,GTA768768JFDH464,147386438,85.9.20.138,2, , ,15 of 28,169,0.25,$26414,
2022-10-01 0345-07,Leave,bizarreN4521,175535215,176.189.236.125,3, , ,27 of 28,514,0.93,$56792091,
2022-10-01 0345-07,Leave,Megasucette10,215662553,109.19.118.88,6, , ,20 of 28,651,1.5,$44854867,
2022-10-01 0345-07,Leave,Misha_777lol,203059368,79.174.34.207,7, , ,28 of 28,64,0.78,$6167286,
2022-10-01 0345-07,Leave,EvieEvolution,160218199,2.222.41.220,8, , ,3 of 28,136,1.29,$7205700,
2022-10-01 0345-07,Leave,lateplays45,128967163,84.253.253.245,9, ,Host,17 of 28,118,1.06,$2337465,
2022-10-01 0345-07,Leave,Taser_v4,193457009,178.218.99.127,12, , ,25 of 28,6671,2.06,$14183726,
2022-10-01 0345-07,Leave,TheCosmicPostman,105768561,58.6.169.158,13, , ,18 of 28,274,1.15,$174684260,
2022-10-01 0345-07,Leave,Yae-Schlommo3,110866480,80.134.103.76,14, , ,6 of 28,644,1.44,$37486626,
2022-10-01 0345-07,Leave,Mc00FIES,183600278,84.215.9.190,15, , ,5 of 28,426,1.5,$1700293139,
2022-10-01 0345-07,Leave,999_MAFI_999,112325748,176.210.207.51,17, , ,2 of 28,165,0.74,$495888370,
2022-10-01 0345-07,Leave,D0ntB3R4c1stP1Z,154085854,23.230.214.83,18, , ,23 of 28,135,1.37,$284117467,
2022-10-01 0345-07,Leave,Asnesi,82886490,90.73.189.37,19, , ,8 of 28,60,0.57,$3823041,
2022-10-01 0345-07,Leave,Deepsilverbmw,22703305,93.90.97.194,21, , ,10 of 28,10,0.35,$26864,
2022-10-01 0345-07,Leave,Adaro0o,26519658,83.128.104.233,22, , ,7 of 28,168,0.96,$3532398,
2022-10-01 0345-07,Leave,ewrt4ttTGEGE4G4E,164581347,88.122.225.226,23, , ,26 of 28,262,1.37,$5978343,
2022-10-01 0345-07,Leave,RubyGirls,38243071,90.2.36.234,24, , ,14 of 28,252,1.12,$1486284,
2022-10-01 0345-07,Leave,Rodioku,175622738,178.68.198.131,25, , ,11 of 28,42,0.33,$2225,
2022-10-01 0345-07,Leave,Sjuush_,127323803,83.137.122.68,26, , ,19 of 28,214,4.85,$14778856,
2022-10-01 0345-07,Leave,topher0606,145817612,217.150.73.79,27, , ,21 of 28,435,0.62,$161946454,
2022-10-01 0345-07,Leave,Karton_baton,163850937,88.86.81.207,29, , ,13 of 28,502,4.72,$96014161,
2022-10-01 0344-56,Join,Eiteiei,133238127,88.114.10.181,0, , ,16 of 28,176,0.89,$51031040,
2022-10-01 0345-08,Leave,Eiteiei,133238127,88.114.10.181,0, , ,16 of 28,176,0.89,$51031040,
2022-10-01 0344-56,Join,xCandyxxx,77973851,86.20.38.195,5, , ,1 of 29,420,1.19,$2147483647,
2022-10-01 0345-35,Leave,xCandyxxx,77973851,86.20.38.195,5, , ,1 of 29,420,1.19,$2147483647,
2022-10-01 0344-56,Join,esadtgreyhgr,144136835,46.46.46.196,4, , ,12 of 29,57,0.62,$11013,
2022-10-01 0345-41,Leave,esadtgreyhgr,144136835,46.46.46.196,4, , ,12 of 29,57,0.62,$11013,
2022-10-01 0345-47,Leave,Yae-Schlommo3,110866480,80.134.103.76,14, , ,6 of 29,644,1.44,$37486626,
2022-10-01 0345-13,Join,LocoWaldo,204643884,173.18.121.166,10, , ,26 of 28,1009,0.68,$245874,
2022-10-01 0346-45,Leave,Sjuush_,127323803,83.137.122.68,26, , ,18 of 28,214,4.85,$14778856,
2022-10-01 0346-48,Join,artrempayne,82530867,91.103.79.172,14, , ,22 of 30,780,1.04,$2146112528,High $ 
2022-10-01 0346-58,Join,SpotemnDropem,209159440,92.233.21.81,26, , ,9 of 30,9,1.0,$31,
2022-10-01 0347-28,Join,Spliffology420,191769488,91.239.206.214,28, , ,14 of 30,220,1.51,$1317537844,
2022-10-01 0350-48,Leave,Eiteiei,133238127,88.114.10.181,0, , ,17 of 30,176,0.89,$51031040,
2022-10-01 0350-48,Leave,Mc00FIES,183600278,84.215.9.190,15, , ,5 of 30,426,1.5,$1700292639,
2022-10-01 0350-48,Leave,D0ntB3R4c1stP1Z,154085854,23.230.214.83,18, , ,24 of 30,135,1.37,$284092467,
2022-10-01 0350-48,Leave,Asnesi,82886490,90.73.189.37,19, , ,7 of 30,60,0.57,$1623041,
2022-10-01 0350-48,Leave,Adaro0o,26519658,83.128.104.233,22, , ,6 of 30,168,0.96,$3532398,
2022-10-01 0350-48,Leave,SpotemnDropem,209159440,92.233.21.81,26, , ,9 of 30,9,1.0,$31,
2022-10-01 0350-48,Leave,topher0606,145817612,217.150.73.79,27, , ,21 of 30,435,0.62,$161725654,
2022-10-01 0350-48,Leave,Karton_baton,163850937,88.86.81.207,29, , ,13 of 30,502,4.72,$96013161,
2022-10-01 0350-48,Leave,LocoWaldo,204643884,173.18.121.166,10, , ,19 of 21,1009,0.68,$246874,
2022-10-01 0350-48,Leave,Taser_v4,193457009,178.218.99.127,12, , ,17 of 21,6671,2.06,$14183726,High rank 
2022-10-01 0350-48,Leave,TheCosmicPostman,105768561,58.6.169.158,13, , ,12 of 21,274,1.15,$174683760,
2022-10-01 0350-48,Leave,ewrt4ttTGEGE4G4E,164581347,88.122.225.226,23, , ,18 of 21,262,1.37,$5978561,
2022-10-01 0350-48,Leave,Spliffology420,191769488,91.239.206.214,28, , ,8 of 21,220,1.51,$1317537844,
2022-10-01 0350-49,Leave,esadtgreyhgr,144136835,46.46.46.196,4, , ,7 of 16,57,0.62,$10794,
2022-10-01 0350-49,Leave,Misha_777lol,203059368,79.174.34.207,7, , ,16 of 16,64,0.78,$6166786,
2022-10-01 0350-49,Leave,artrempayne,82530867,91.103.79.172,14, , ,12 of 16,780,1.04,$2146112528,High $ 
2022-10-01 0350-49,Leave,Deepsilverbmw,22703305,93.90.97.194,21, , ,5 of 16,10,0.35,$28864,
2022-10-01 0350-49,Leave,RubyGirls,38243071,90.2.36.234,24, , ,8 of 16,252,1.12,$1495284,
2022-10-01 0350-50,Leave,6BrashDoctor9,81489194,178.252.205.181,1, , ,4 of 11,17,1.13,$95907,
2022-10-01 0350-50,Leave,GTA768768JFDH464,147386438,85.9.20.138,2, , ,6 of 11,169,0.25,$25814,
2022-10-01 0350-50,Leave,bizarreN4521,175535215,176.189.236.125,3, , ,11 of 11,514,0.93,$56792162,
2022-10-01 0350-50,Leave,Megasucette10,215662553,109.19.118.88,6, , ,8 of 11,651,1.5,$38407867,
2022-10-01 0350-50,Leave,EvieEvolution,160218199,2.222.41.220,8, , ,3 of 11,136,1.29,$7205200,
2022-10-01 0350-50,Leave,lateplays45,128967163,84.253.253.245,9, , ,7 of 11,118,1.06,$2331620,
2022-10-01 0350-50,Leave,999_MAFI_999,112325748,176.210.207.51,17, , ,2 of 11,165,0.74,$495888370,
2022-10-01 0350-50,Leave,Rodioku,175622738,178.68.198.131,25, , ,5 of 11,42,0.33,$2187,
2022-10-01 0350-55,Leave,xCandyxxx,77973851,86.20.38.195,5, ,Host,1 of 1,420,1.19,$2147483647,
2022-10-01 0351-52,Join,Official_Asim,162942067,104.230.72.203,0, , ,8 of 30,235,0.67,$1975300,
2022-10-01 0351-52,Join,taquito3838,202118715,71.206.87.193,1, , ,6 of 30,127,0.52,$6748164,
2022-10-01 0351-52,Join,ProllyShadow,123233841,72.187.11.83,5, , ,23 of 30,50,0.57,$237414,
2022-10-01 0351-52,Join,WANGLI28,212548158,43.129.241.170,6, , ,30 of 30,133,2.31,$202557,
2022-10-01 0351-52,Join,iKevito,33933468,99.246.38.62,7, , ,25 of 30,59,0.85,$74039,
2022-10-01 0351-52,Join,Leeeeeeemes,152385725,72.76.103.140,9, ,Host,7 of 30,77,0.41,$425987,
2022-10-01 0351-52,Join,rxmivelascoo,202522963,45.87.214.78,10, , ,24 of 30,298,1.3,$1548762,RAC 
2022-10-01 0351-52,Join,Juic-N-1980,214887311,75.117.5.235,11, , ,2 of 30,20,0.33,$1650046,
2022-10-01 0351-52,Join,dead_elephant,68205725,24.238.77.240,13, , ,20 of 30,68,0.31,$840821,
