GeeSkid v1.05
Date/Time,Join/Leave,Name,SCID,IP,PID,Friend,Host,Host Priority,Rank,K/D,Money,Modder Flags
2022-09-16 1314-01,Join,PoweredByGtx970,197817488,89.212.66.47,0, , ,2 of 6,163,0.68,$50043,
2022-09-16 1314-01,Join,rambodal,7115789,95.31.176.28,1, , ,4 of 6,169,0.36,$5333476,
2022-09-16 1314-01,Join,fufu69504287,216142450,88.164.131.6,2, ,Host,1 of 6,374,0.92,$465668,
2022-09-16 1314-01,Join,GalaxyExpertLP,210958663,78.43.64.79,3, , ,3 of 6,35,0.45,$45824,
2022-09-16 1314-01,Join,deme80car,8744519,80.180.0.210,4, , ,5 of 6,171,0.8,$289294,
2022-09-16 1314-01,Join,xCandyxxx,77973851,86.20.38.195,7, , ,6 of 6,420,1.19,$2147483647,
2022-09-16 1315-56,Join,fufu69504287,216142450,88.164.131.6,2, ,Host,1 of 2,374,0.92,$465668,
2022-09-16 1315-56,Join,xCandyxxx,77973851,86.20.38.195,7, , ,2 of 2,420,1.19,$2147483647,
2022-09-16 1316-14,Leave,fufu69504287,216142450,88.164.131.6,2, ,Host,1 of 2,374,0.92,$465668,
2022-09-16 1316-14,Leave,xCandyxxx,77973851,86.20.38.195,7, , ,2 of 2,420,1.19,$2147483647,
2022-09-16 1316-48,Join,ArchibaldHunter,152562440,85.26.233.13,0, , ,20 of 30,175,0.92,$1272722,
2022-09-16 1316-48,Join,KanekiAnim,119890347,194.15.55.2,1, , ,27 of 30,122,0.6,$88429,
2022-09-16 1316-48,Join,Mato_e,199428561,109.123.17.112,2, , ,18 of 30,120,2.25,$26381618,
2022-09-16 1316-48,Join,Nimosya,143775013,185.13.112.105,3, , ,19 of 30,123,0.88,$808671820,
2022-09-16 1316-48,Join,RaeniXik,168653490,62.240.183.11,4, , ,9 of 30,115,0.9,$18205718,
2022-09-16 1316-48,Join,Myskiharka,210377041,84.251.14.210,6, , ,14 of 30,143,0.62,$998400,
2022-09-16 1316-48,Join,XxFazeStepBroxX,210090364,84.24.42.62,7, , ,22 of 30,182,3.77,$15996572,
2022-09-16 1316-48,Join,Bazzi367,115066819,194.12.37.4,8, , ,25 of 30,110,0.33,$710026,
2022-09-16 1316-48,Join,Michi454,1457333,37.4.227.209,9, , ,29 of 30,172,0.86,$1460252,
2022-09-16 1316-48,Join,NesarV,152142050,95.167.136.13,10, , ,8 of 30,209,0.72,$112921,
2022-09-16 1316-48,Join,WITY12,110552040,94.142.239.53,11, , ,13 of 30,80,0.53,$1404344,
2022-09-16 1316-48,Join,Ferko60,129139191,178.143.40.244,12, , ,11 of 30,238,0.53,$5871935,
2022-09-16 1316-48,Join,l1ttlepupp3t,102892816,82.37.221.46,13, , ,17 of 30,965,2.6,$52965891,
2022-09-16 1316-48,Join,Lvky1612,160307831,93.137.229.255,14, , ,12 of 30,95,0.5,$558121,
2022-09-16 1316-48,Join,Sanek417,196459390,95.82.210.11,15, , ,16 of 30,35,0.56,$351313,
2022-09-16 1316-48,Join,dogCatcherr,31080090,85.251.133.241,16, , ,24 of 30,192,1.08,$1284935472,
2022-09-16 1316-48,Join,KamaszeKYT,70218199,77.46.57.27,17, , ,26 of 30,93,0.36,$13272,
2022-09-16 1316-48,Join,DonuterX,124579934,91.219.240.4,20, , ,15 of 30,164,1.22,$469789923,
2022-09-16 1316-48,Join,iva-irish-76xxx,168606553,151.60.5.57,22, , ,21 of 30,419,0.39,$99343156,
2022-09-16 1316-48,Join,BIG_OBAMA_666,97199823,185.170.248.144,24, , ,28 of 30,102,0.82,$401012,
2022-09-16 1316-48,Join,-Fl0r-,194839844,31.187.202.55,25, , ,2 of 30,61,0.51,$529567,
2022-09-16 1317-16,Leave,BIG_OBAMA_666,97199823,185.170.248.144,24, , ,28 of 30,102,0.82,$401012,
2022-09-16 1316-48,Join,Krokotiili22,84384243,178.55.14.183,26, , ,5 of 29,157,0.89,$5468810,
2022-09-16 1316-48,Join,xCandyxxx,77973851,86.20.38.195,28, , ,1 of 29,420,1.19,$2147483647,
2022-09-16 1316-59,Join,EisregenHerz,97673764,84.135.177.30,21, , ,24 of 30,292,0.53,$841256,
2022-09-16 1317-57,Leave,EisregenHerz,97673764,84.135.177.30,21, , ,24 of 30,292,0.53,$841256,
2022-09-16 1317-32,Join,susu76450,182043634,176.155.82.165,24, , ,15 of 30,391,0.57,$32520,
2022-09-16 1317-54,Join,dr_link_,199110430,83.234.145.10,29, , ,17 of 30,172,0.62,$56257,
2022-09-16 1318-47,Leave,dr_link_,199110430,83.234.145.10,29, , ,17 of 30,172,0.62,$56257,
2022-09-16 1317-47,Join,Vertuoz66,22583301,94.190.40.10,27, , ,10 of 30,140,0.36,$67248,
2022-09-16 1318-51,Leave,Vertuoz66,22583301,94.190.40.10,27, , ,10 of 30,140,0.36,$67248,
2022-09-16 1319-09,Leave,susu76450,182043634,176.155.82.165,24, , ,15 of 30,391,0.57,$32520,
2022-09-16 1319-57,Leave,Krokotiili22,84384243,178.55.14.183,26, , ,4 of 30,157,0.89,$5468810,
2022-09-16 1319-20,Join,BOOBA357k,189993917,176.191.75.22,24, , ,14 of 29,31,0.66,$1148885,
2022-09-16 1320-32,Leave,Vertuoz66,22583301,94.190.40.10,27, , ,9 of 29,140,0.36,$67248,
2022-09-16 1320-32,Leave,KanekiAnim,119890347,194.15.55.2,1, , ,26 of 28,122,0.6,$88429,
2022-09-16 1321-24,Leave,BOOBA357k,189993917,176.191.75.22,24, , ,14 of 30,31,0.66,$1148885,
2022-09-16 1321-24,Leave,-Fl0r-,194839844,31.187.202.55,25, , ,2 of 30,61,0.51,$529567,
2022-09-16 1321-25,Leave,NesarV,152142050,95.167.136.13,10, , ,4 of 28,209,0.72,$105073,
2022-09-16 1321-27,Leave,dogCatcherr,31080090,85.251.133.241,16, , ,23 of 27,192,1.08,$1284935472,
2022-09-16 1321-00,Join,sungjiyoo,209035073,90.8.105.16,1, , ,18 of 27,296,8.0,$15024659,
2022-09-16 1321-51,Leave,iva-irish-76xxx,168606553,151.60.5.57,22, , ,21 of 27,419,0.39,$99342656,
2022-09-16 1321-09,Join,nordaann,202653825,213.66.204.187,26, , ,16 of 26,39,0.52,$5397261,
2022-09-16 1321-23,Join,theshark154,164306224,80.162.220.92,27, , ,7 of 26,31,1.0,$805,
2022-09-16 1322-26,Leave,theshark154,164306224,80.162.220.92,27, , ,8 of 27,31,1.0,$805,
2022-09-16 1321-43,Join,Cpt-Xanax,206156980,109.130.127.24,10, , ,4 of 27,130,0.16,$2744523,
2022-09-16 1322-48,Leave,Lvky1612,160307831,93.137.229.255,14, , ,9 of 29,95,0.5,$609141,
2022-09-16 1322-22,Join,vakojii,138982869,78.35.134.214,16, , ,3 of 30,263,0.93,$195533253,
2022-09-16 1323-16,Leave,vakojii,138982869,78.35.134.214,16, , ,3 of 30,263,0.93,$195533253,
2022-09-16 1322-26,Join,seriousmarcell19,171604199,89.133.189.167,22, , ,26 of 29,5874,0.19,$1451570908,
2022-09-16 1322-42,Join,The_Spaceboii,207426808,77.175.44.82,25, , ,22 of 30,34,1.0,$201356,
2022-09-16 1322-53,Join,Hammermis,215400262,188.181.88.223,14,Friend, ,8 of 29,129,1.0,$748228,
2022-09-16 1323-22,Join,member808964,156848228,178.237.226.155,16, , ,4 of 30,31,0.55,$255483,
2022-09-16 1324-28,Leave,member808964,156848228,178.237.226.155,16, , ,4 of 30,31,0.55,$255483,
2022-09-16 1323-53,Join,Scoobidoopapa,169942027,176.170.98.201,27, , ,23 of 29,443,1.05,$82214781,
2022-09-16 1324-48,Leave,Scoobidoopapa,169942027,176.170.98.201,27, , ,23 of 29,443,1.05,$82214781,
2022-09-16 1324-55,Join,Vellu_22,141087711,85.76.106.199,16,Friend, ,3 of 30,110,0.2,$38082,
2022-09-16 1326-37,Leave,sungjiyoo,209035073,90.8.105.16,1, , ,18 of 30,296,8.0,$15024659,
2022-09-16 1326-41,Leave,seriousmarcell19,171604199,89.133.189.167,22, , ,26 of 29,5874,0.19,$1451570908,
2022-09-16 1326-41,Leave,Cpt-Xanax,206156980,109.130.127.24,10, , ,4 of 28,130,0.16,$2844523,
2022-09-16 1326-53,Leave,DonuterX,124579934,91.219.240.4,20, , ,11 of 27,164,1.22,$469340003,
2022-09-16 1326-57,Leave,KamaszeKYT,70218199,77.46.57.27,17, , ,24 of 26,93,0.36,$20079,
2022-09-16 1326-57,Join,Meyvino,150330361,188.167.14.38,1, , ,27 of 29,182,3.18,$316794680,
2022-09-16 1327-14,Join,KyKOLKA_KRD,143510900,83.234.50.26,10, , ,26 of 29,177,0.43,$190775366,
2022-09-16 1327-19,Join,Potatoe_muncher,203689177,136.169.93.114,17, , ,12 of 30,95,0.43,$69272,
2022-09-16 1327-29,Join,Noshhyy,215709426,194.19.248.212,20, , ,11 of 30,28,2.0,$795168,
2022-09-16 1328-43,Leave,nordaann,202653825,213.66.204.187,26, , ,16 of 30,39,0.52,$5397261,
2022-09-16 1328-08,Join,Ondrej_Pecka,181919599,86.49.226.108,22, , ,21 of 29,165,0.39,$3249278,
2022-09-16 1329-44,Leave,Ondrej_Pecka,181919599,86.49.226.108,22, , ,20 of 30,165,0.39,$3249278,
2022-09-16 1329-06,Join,aleks246801,164526170,91.123.188.214,19, , ,26 of 30,147,0.56,$1820106,
2022-09-16 1330-00,Leave,aleks246801,164526170,91.123.188.214,19, , ,26 of 30,147,0.56,$1820106,
