GeeSkid v1.05
Date/Time,Join/Leave,Name,SCID,IP,PID,Friend,Host,Host Priority,Rank,K/D,Money,Modder Flags
2022-09-29 0031-22,Join,tesko_mh-6,50091625,213.211.144.66,0, ,Host,2 of 25,58,2.22,$1950296,
2022-09-29 0031-22,Join,coca_cola_57,121693776,83.194.35.151,1, , ,11 of 25,63,0.95,$3970317,
2022-09-29 0031-22,Join,ritterchen,145063809,84.173.255.84,2, , ,15 of 25,83,0.11,$466940,
2022-09-29 0031-22,Join,emiel31,130352379,94.213.167.31,3, , ,3 of 25,40,1.0,$230418,
2022-09-29 0031-22,Join,StarkProZ,167452031,90.164.59.139,4, , ,24 of 25,86,0.52,$2177340,
2022-09-29 0031-22,Join,Zifou57,66645475,176.177.2.218,5, , ,22 of 25,68,0.7,$265113,
2022-09-29 0031-22,Join,JDMaster214,79279432,2.99.28.133,6, , ,20 of 25,61,2.36,$2021643,
2022-09-29 0031-22,Join,Deejay_Chrischy,67845021,94.220.180.70,7, , ,9 of 25,251,3.64,$105173257,
2022-09-29 0031-22,Join,anxiousTheBoss,79121598,143.131.227.26,8, , ,21 of 25,66,0.29,$494780,
2022-09-29 0031-22,Join,Shobe77919,206271165,185.192.69.105,9, , ,7 of 25,117,0.48,$43169276,
2022-09-29 0031-22,Join,Joker-yober,196002380,176.59.17.88,10, , ,19 of 25,229,2.07,$6615191,
2022-09-29 0031-22,Join,xCandyxxx,77973851,86.20.38.195,12, , ,1 of 25,420,1.19,$2147483647,
2022-09-29 0031-22,Join,Asti-_-lleros,119891838,90.168.162.93,13, , ,18 of 25,194,1.35,$8564663,
2022-09-29 0031-22,Join,DOS_CARACOLES,215872238,181.196.12.12,14, , ,6 of 25,75,0.73,$1049700,
2022-09-29 0031-22,Join,LOJZA_3301,183290861,78.1.61.23,15, , ,23 of 25,77,0.35,$2892286,
2022-09-29 0031-22,Join,pokopoko45,124474205,89.39.107.195,17, , ,8 of 25,181,1.43,$2365918,
2022-09-29 0031-22,Join,SakneLV,159337106,129.242.77.165,18, , ,14 of 25,211,1.18,$6600664,
2022-09-29 0031-22,Join,MohamedRibeiro,194651491,217.129.27.207,20, , ,17 of 25,81,1.07,$1080150,
2022-09-29 0031-22,Join,alienzoro,187347803,79.175.99.246,22,Friend, ,5 of 25,401,0.53,$11385790,
2022-09-29 0031-22,Join,xsi9694I,199942488,217.235.238.216,21, , ,25 of 25,178,1.5,$716018,
2022-09-29 0031-38,Leave,emiel31,130352379,94.213.167.31,3, , ,3 of 25,40,1.0,$230418,
2022-09-29 0031-38,Leave,DOS_CARACOLES,215872238,181.196.12.12,14, , ,5 of 24,75,0.73,$1049700,
2022-09-29 0031-22,Join,ApeXZodiak,132949976,212.229.63.166,16, , ,8 of 22,231,1.58,$10000313,
2022-09-29 0032-13,Leave,LOJZA_3301,183290861,78.1.61.23,15, , ,20 of 22,77,0.35,$2892286,
2022-09-29 0032-33,Leave,ApeXZodiak,132949976,212.229.63.166,16, , ,8 of 21,231,1.58,$10050313,
2022-09-29 0033-15,Join,Eustaquio_26,118914615,95.23.89.136,14, , ,18 of 20,644,1.61,$5513573,
2022-09-29 0034-12,Join,Dark556YT,163275437,87.222.8.133,15, , ,23 of 25,28,1.0,$213860,
2022-09-29 0035-07,Leave,Dark556YT,163275437,87.222.8.133,15, , ,23 of 25,28,1.0,$213860,
